id,name,isin,symbol,from,to
866172,Infotel,FR0000071797,INF,1971-01-06/P1D,2021-01-06T16:31:54.2876088+01:00
867446,Innate Pharma,FR0010331421,IPH,1971-01-06/P1D,2021-01-06T16:31:57.1019559+01:00
866124,Innelec Multimedia,FR0000064297,INN,1971-01-06/P1D,2021-01-06T16:31:59.9602988+01:00
867106,Interparfums,FR0004024222,ITP,1971-01-06/P1D,2021-01-06T16:32:07.9451674+01:00
13033360,INVENTIVA S.A.,FR0013233012,IVA,1971-01-06/P1D,2021-01-06T16:32:28.0772557+01:00
264031,Ipsen,FR0010259150,IPN,1971-01-06/P1D,2021-01-06T16:32:30.7400807+01:00
255744,Ipsos,FR0000073298,IPS,1971-01-06/P1D,2021-01-06T16:32:33.5924249+01:00
866183,IT Link,FR0000072597,ITL,1971-01-06/P1D,2021-01-06T16:32:42.2202102+01:00
867107,Itesoft,FR0004026151,ITE,1971-01-06/P1D,2021-01-06T16:32:46.3537274+01:00
7441492,Jacques Bogart,FR0012872141,JBOG,1971-01-06/P1D,2021-01-06T16:33:03.66457+01:00
255259,Jacquet Metal,FR0000033904,JCQ,1971-01-06/P1D,2021-01-06T16:33:13.8724564+01:00
255841,JCDecaux,FR0000077919,DEC,1971-01-06/P1D,2021-01-06T16:33:16.6857907+01:00
867101,Kaufman et Broad,FR0004007813,KOF,1971-01-06/P1D,2021-01-06T16:33:19.7321673+01:00
255914,Kering,FR0000121485,KER,1971-01-06/P1D,2021-01-06T16:33:22.7795305+01:00
867110,Keyrus,FR0004029411,KEY,1971-01-06/P1D,2021-01-06T16:33:25.9039064+01:00
65087,Klépierre,FR0000121964,LI,1971-01-06/P1D,2021-01-06T16:33:48.0533539+01:00
266743,Korian,FR0010386334,KORI,1971-01-06/P1D,2021-01-06T16:33:51.3607578+01:00
65018,L'Oréal,FR0000120321,OR,1971-01-06/P1D,2021-01-06T16:33:54.318117+01:00
866162,Lacroix,FR0000066607,LACR,1971-01-06/P1D,2021-01-06T16:33:57.5347032+01:00
255961,Lagardère,FR0000130213,MMB,1971-01-06/P1D,2021-01-06T16:34:00.7030885+01:00
867184,Le Noble Age,FR0004170017,LNA,1971-01-06/P1D,2021-01-06T16:34:03.8820015+01:00
866273,Lebon,FR0000121295,LBON,1971-01-06/P1D,2021-01-06T16:34:08.2735384+01:00
866147,Lectra,FR0000065484,LSS,1971-01-06/P1D,2021-01-06T16:34:15.8545787+01:00
74306,Legrand,FR0010307819,LR,1971-01-06/P1D,2021-01-06T16:34:21.6782912+01:00
258583,Linedata Services,FR0004156297,LIN,1971-01-06/P1D,2021-01-06T16:34:28.1257669+01:00
255412,LISI S.A.,FR0000050353,FII,1971-01-06/P1D,2021-01-06T16:34:31.2501434+01:00
865954,LUMIBIRD,FR0000038242,LBIRD,1971-01-06/P1D,2021-01-06T16:34:34.1354996+01:00
65053,LVMH MOET HENN. L. VUITTON SE,FR0000121014,MC,1971-01-06/P1D,2021-01-06T16:34:37.166868+01:00
12970966,LYSOGENE S.A.,FR0013233475,LYS,1971-01-06/P1D,2021-01-06T16:34:39.9801921+01:00
255460,M6 Métropole Télévision,FR0000053225,MMT,1971-01-06/P1D,2021-01-06T16:34:46.0459353+01:00
10419567,Maisons du Monde,FR0013153541,MDM,1971-01-06/P1D,2021-01-06T16:34:48.8752747+01:00
867173,Maisons France Confort,FR0004159473,MFC,1971-01-06/P1D,2021-01-06T16:34:51.7166248+01:00
255333,Manitou BF,FR0000038606,MTU,1971-01-06/P1D,2021-01-06T16:35:04.6826007+01:00
866063,Marie Brizard Wine & Spirits,FR0000060873,MBWS,1971-01-06/P1D,2021-01-06T16:35:13.8228491+01:00
1745140,Mauna Kea Technologies,FR0010609263,MKEA,1971-01-06/P1D,2021-01-06T16:35:16.9691983+01:00
255420,Maurel & Prom,FR0000051070,MAU,1971-01-06/P1D,2021-01-06T16:35:20.4356261+01:00
5006453,McPhy Energy,FR0011742329,MCPHY,1971-01-06/P1D,2021-01-06T16:35:23.3989845+01:00
866128,Media 6,FR0000064404,EDI,1971-01-01/P1D,2021-01-06T16:35:29.7031156+01:00
867379,Memscap,FR0010298620,MEMS,1971-01-06/P1D,2021-01-06T16:35:32.6834775+01:00
263733,Mercialys,FR0010241638,MERY,1971-01-06/P1D,2021-01-06T16:35:41.667574+01:00
64480,Mersen,FR0000039620,MRN,1971-01-06/P1D,2021-01-06T16:35:48.4466521+01:00
258621,Metabolic Explorer,FR0004177046,METEX,1971-01-06/P1D,2021-01-06T16:35:54.0593391+01:00
65063,Michelin,FR0000121261,ML,1971-01-06/P1D,2021-01-06T16:35:57.0627983+01:00
866246,Micropole,FR0000077570,MUN,1971-01-06/P1D,2021-01-06T16:36:00.624229+01:00
4814091,MND,FR0011584549,MND,1971-01-06/P1D,2021-01-06T16:36:03.5112064+01:00
1813095,Nanobiotix,FR0011341205,NANO,1971-01-06/P1D,2021-01-06T16:36:06.2585386+01:00
65044,Natixis,FR0000120685,KN,1971-01-06/P1D,2021-01-06T16:36:12.461297+01:00
867161,Netgem,FR0004154060,NTG,1971-01-06/P1D,2021-01-06T16:36:23.9425956+01:00
865973,Nexans,FR0000044448,NEX,1971-01-06/P1D,2021-01-06T16:36:28.3018715+01:00
69484,Nexity,FR0010112524,NXI,1971-01-06/P1D,2021-01-06T16:36:31.3004927+01:00
8566939,NicOx,FR0013018124,COX,1971-01-06/P1D,2021-01-06T16:36:34.3087835+01:00
866006,Oeneo,FR0000052680,SBT,1971-01-06/P1D,2021-01-06T16:36:37.2600632+01:00
867612,OL Groupe,FR0010428771,OLG,1971-01-06/P1D,2021-01-06T16:36:40.3733635+01:00
867271,Onxeo,FR0010095596,ONXEO,1971-01-06/P1D,2021-01-06T16:36:43.2207429+01:00
65156,Orange,FR0000133308,ORA,1971-01-06/P1D,2021-01-06T16:36:46.1480278+01:00
11102322,Orchestra-Prémaman,FR0013190410,KAZI,1970-03-28/P1D,2021-01-06T16:36:49.1228862+01:00
255992,Orpea,FR0000184798,ORP,1971-01-06/P1D,2021-01-06T16:36:52.0384661+01:00
5830658,OSE IMMUNO,FR0012127173,OSE,1971-01-06/P1D,2021-01-06T16:37:03.312441+01:00
14553580,PARAGON ID S.A.,FR0013318813,PID,1971-01-06/P1D,2021-01-06T16:37:08.3489221+01:00
258514,Parrot,FR0004038263,PARRO,1971-01-06/P1D,2021-01-06T16:37:13.0493746+01:00
865955,Passat,FR0000038465,PSAT,1971-01-06/P1D,2021-01-06T16:37:15.9246326+01:00
65045,Pernod Ricard,FR0000120693,RI,1971-01-06/P1D,2021-01-06T16:37:18.8448942+01:00
65074,Peugeot,FR0000121501,UG,1971-01-06/P1D,2021-01-06T16:37:25.0444534+01:00
7496874,Pharmagest Interactive,FR0012882389,PHA,1971-01-06/P1D,2021-01-06T16:37:27.9368905+01:00
255740,Pierre Vacances,FR0000073041,VAC,1971-01-06/P1D,2021-01-06T16:37:30.894547+01:00
5109974,Pixium Vision,FR0011950641,PIX,1971-01-06/P1D,2021-01-06T16:37:33.5975069+01:00
867328,Pizzorno Environnement,FR0010214064,GPE,1971-01-06/P1D,2021-01-06T16:37:37.1068181+01:00
866280,Plastic Omnium,FR0000124570,POM,1971-01-06/P1D,2021-01-06T16:37:47.6216128+01:00
13474471,PLASTIQUES DU VAL DE LOIRE SA,FR0013252186,PVL,1971-01-06/P1D,2021-01-06T16:37:55.4643161+01:00
5565619,Poxel,FR0012432516,POXEL,1971-01-06/P1D,2021-01-06T16:37:58.2115731+01:00
866061,Precia,FR0000060832,PREC,1971-01-06/P1D,2021-01-06T16:38:01.0988227+01:00
13498854,PRODWAYS GROUP S.A.,FR0012613610,PWG,1971-01-06/P1D,2021-01-06T16:38:06.873022+01:00
867550,Prologue,FR0010380626,PROL,1971-01-06/P1D,2021-01-06T16:38:09.5928098+01:00
866053,PSB Industries,FR0000060329,PSB,1971-01-06/P1D,2021-01-06T16:38:12.4260744+01:00
255971,Publicis Groupe,FR0000130577,PUB,1971-01-06/P1D,2021-01-06T16:38:15.3503306+01:00
866272,QUADIENT,FR0000120560,QDT,1971-01-06/P1D,2021-01-06T16:38:18.3165932+01:00
255881,Recylex,FR0000120388,RX,1970-05-14/P1D,2021-01-06T16:38:32.7357398+01:00
255967,Rémy Cointreau,FR0000130395,RCO,1971-01-06/P1D,2021-01-06T16:38:38.8797372+01:00
65153,Renault,FR0000131906,RNO,1971-01-06/P1D,2021-01-06T16:38:41.8820028+01:00
268281,Rexel,FR0010451203,RXL,1971-01-06/P1D,2021-01-06T16:38:44.82327+01:00
866221,Riber,FR0000075954,RIB,1971-01-06/P1D,2021-01-06T16:38:47.8795485+01:00
865963,Robertet,FR0000039091,RBT,1971-01-06/P1D,2021-01-06T16:38:50.7448089+01:00
865899,Rothschild & Co,FR0000031684,ROTH,1971-01-06/P1D,2021-01-06T16:38:53.9040855+01:00
13766283,RUBIS S.C.A.,FR0013269123,RUI,1971-01-06/P1D,2021-01-06T16:38:56.8483544+01:00
866030,S.T. Dupont,FR0000054199,DPT,1971-01-06/P1D,2021-01-06T16:39:03.5853635+01:00
64879,Safran,FR0000073272,SAF,1971-01-06/P1D,2021-01-06T16:39:12.0658717+01:00
65104,Saint-Gobain,FR0000125007,SGO,1971-01-06/P1D,2021-01-06T16:39:15.2011675+01:00
65036,Sanofi,FR0000120578,SAN,1971-01-06/P1D,2021-01-06T16:39:18.2134591+01:00
10320822,Sartorius Stedim Biotech,FR0013154002,DIM,1971-01-06/P1D,2021-01-06T16:39:21.2112232+01:00
65088,Schneider Electric,FR0000121972,SU,1971-01-06/P1D,2021-01-06T16:39:24.3866724+01:00
267265,SCOR,FR0010411983,SCR,1971-01-06/P1D,2021-01-06T16:39:27.4139634+01:00
255923,SEB,FR0000121709,SK,1971-01-06/P1D,2021-01-06T16:39:30.431263+01:00
255344,Séché Environnement,FR0000039109,SCHP,1971-01-06/P1D,2021-01-06T16:39:33.3795398+01:00
5113440,Serge Ferrari Group,FR0011950682,SEFER,1971-01-06/P1D,2021-01-06T16:39:36.3728263+01:00
91915,SES S.A.,LU0088087324,SESG,1971-01-06/P1D,2021-01-06T16:39:58.9672308+01:00
866059,Signaux Girod,FR0000060790,GIRO,1971-01-06/P1D,2021-01-06T16:40:02.5495677+01:00
13962318,SMCP S.A.S.,FR0013214145,SMCP,1971-01-06/P1D,2021-01-06T16:40:05.2838351+01:00
255899,SOCIETE BIC S.A.,FR0000120966,BB,1971-01-06/P1D,2021-01-06T16:40:08.1191065+01:00
65145,Société Générale,FR0000130809,GLE,1971-01-06/P1D,2021-01-06T16:40:11.2023986+01:00
255904,Sodexo,FR0000121220,SW,1971-01-06/P1D,2021-01-06T16:40:14.3187029+01:00
866152,Sogeclair,FR0000065864,SOG,1971-01-06/P1D,2021-01-06T16:40:17.2440843+01:00
12981967,Soitec,FR0013227113,SOI,1971-01-06/P1D,2021-01-06T16:40:20.4543973+01:00
180567,Solvay,BE0003470755,SOLB,1971-01-06/P1D,2021-01-06T16:40:38.7651567+01:00
255417,Sopra Steria Group,FR0000050809,SOP,1971-01-06/P1D,2021-01-06T16:40:42.1410805+01:00
6677338,Spie,FR0012757854,SPIE,1971-01-06/P1D,2021-01-06T16:40:45.1403665+01:00
1803270,SQLI S.A.,FR0011289040,SQI,1971-01-06/P1D,2021-01-06T16:40:51.3969688+01:00
8278015,SRP Groupe,FR0013006558,SRP,1971-01-06/P1D,2021-01-06T16:40:54.0932281+01:00
1740970,Stentys,FR0010949404,STNT,1969-07-23/P1D,2021-01-06T16:40:57.5605615+01:00
95999,STMicroelectronics,NL0000226223,STM,1971-01-06/P1D,2021-01-06T16:41:00.5058616+01:00
